code,description
D820,Wiskott-Aldrich syndrome
D821,Di George's syndrome
D822,Immunodeficiency with short-limbed stature
D823,Immunodeficiency following hereditary defective response to Epstein-Barr virus
D824,Hyperimmunoglobulin E [IgE] syndrome
D828,Immunodeficiency associated with other specified major defects
D829,"Immunodeficiency associated with major defect, unspecified"
D830,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function
D831,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders
D832,Common variable immunodeficiency with autoantibodies to B- or T-cells
D838,Other common variable immunodeficiencies
D839,"Common variable immunodeficiency, unspecified"
D840,Lymphocyte function antigen-1 [LFA-1] defect
D841,Defects in the complement system
D848,Immunodeficiency due to conditions classified elsewhere
D849,"Immunodeficiency, unspecified"
D860,Sarcoidosis of lung
D861,Sarcoidosis of lymph nodes
D862,Sarcoidosis of lung with sarcoidosis of lymph nodes
D863,Sarcoidosis of skin
D868,Sarcoid meningitis
D869,"Sarcoidosis, unspecified"
D890,Polyclonal hypergammaglobulinemia
D891,Cryoglobulinemia
D892,"Hypergammaglobulinemia, unspecified"
D893,Immune reconstitution syndrome
D894,"Mast cell activation, unspecified"
D898,Acute graft-versus-host disease
D899,"Disorder involving the immune mechanism, unspecified"
E000,"Congenital iodine-deficiency syndrome, neurological type"
E001,"Congenital iodine-deficiency syndrome, myxedematous type"
E002,"Congenital iodine-deficiency syndrome, mixed type"
E009,"Congenital iodine-deficiency syndrome, unspecified"
E010,Iodine-deficiency related diffuse (endemic) goiter
E011,Iodine-deficiency related multinodular (endemic) goiter
E012,"Iodine-deficiency related (endemic) goiter, unspecified"
E018,Other iodine-deficiency related thyroid disorders and allied conditions
E02,Subclinical iodine-deficiency hypothyroidism
E030,Congenital hypothyroidism with diffuse goiter
E031,Congenital hypothyroidism without goiter
E032,Hypothyroidism due to medicaments and other exogenous substances
E033,Postinfectious hypothyroidism
E034,Atrophy of thyroid (acquired)
E035,Myxedema coma
E038,Other specified hypothyroidism
E039,"Hypothyroidism, unspecified"
E040,Nontoxic diffuse goiter
E041,Nontoxic single thyroid nodule
E042,Nontoxic multinodular goiter
E048,Other specified nontoxic goiter
E049,"Nontoxic goiter, unspecified"
E050,Thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm
E051,Thyrotoxicosis with toxic single thyroid nodule without thyrotoxic crisis or storm
E052,Thyrotoxicosis with toxic multinodular goiter without thyrotoxic crisis or storm
E053,Thyrotoxicosis from ectopic thyroid tissue without thyrotoxic crisis or storm
E054,Thyrotoxicosis factitia without thyrotoxic crisis or storm
E058,Other thyrotoxicosis without thyrotoxic crisis or storm
E059,"Thyrotoxicosis, unspecified without thyrotoxic crisis or storm"
E060,Acute thyroiditis
E061,Subacute thyroiditis
E062,Chronic thyroiditis with transient thyrotoxicosis
E063,Autoimmune thyroiditis
E064,Drug-induced thyroiditis
E065,Other chronic thyroiditis
E069,"Thyroiditis, unspecified"
E070,Hypersecretion of calcitonin
E071,Dyshormogenetic goiter
E078,Sick-euthyroid syndrome
E079,"Disorder of thyroid, unspecified"
E080,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E081,Diabetes mellitus due to underlying condition with ketoacidosis without coma
E082,Diabetes mellitus due to underlying condition with diabetic nephropathy
E083,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema
E084,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified"
E085,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene
E086,Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy
E088,Diabetes mellitus due to underlying condition with unspecified complications
E089,Diabetes mellitus due to underlying condition without complications
E090,Drug or chemical induced diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E091,Drug or chemical induced diabetes mellitus with ketoacidosis without coma
E092,Drug or chemical induced diabetes mellitus with diabetic nephropathy
E093,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema
E094,"Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified"
E095,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy without gangrene
E096,Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy
E098,Drug or chemical induced diabetes mellitus with unspecified complications
E099,Drug or chemical induced diabetes mellitus without complications
E101,Type 1 diabetes mellitus with ketoacidosis without coma
E102,Type 1 diabetes mellitus with diabetic nephropathy
E103,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema
E104,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified"
E105,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene
E106,Type 1 diabetes mellitus with diabetic neuropathic arthropathy
E108,Type 1 diabetes mellitus with unspecified complications
E109,Type 1 diabetes mellitus without complications
E110,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E111,Type 2 diabetes mellitus with ketoacidosis without coma
E112,Type 2 diabetes mellitus with diabetic nephropathy
E113,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema
E114,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified"
E115,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
E116,Type 2 diabetes mellitus with diabetic neuropathic arthropathy
E118,Type 2 diabetes mellitus with unspecified complications
E119,Type 2 diabetes mellitus without complications
E130,Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E131,Other specified diabetes mellitus with ketoacidosis without coma
E132,Other specified diabetes mellitus with diabetic nephropathy
E133,Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema
E134,"Other specified diabetes mellitus with diabetic neuropathy, unspecified"
E135,Other specified diabetes mellitus with diabetic peripheral angiopathy without gangrene
E136,Other specified diabetes mellitus with diabetic neuropathic arthropathy
E138,Other specified diabetes mellitus with unspecified complications
E139,Other specified diabetes mellitus without complications
E15,Nondiabetic hypoglycemic coma
E160,Drug-induced hypoglycemia without coma
E161,Other hypoglycemia
E162,"Hypoglycemia, unspecified"
E163,Increased secretion of glucagon
E164,Increased secretion of gastrin
E168,Other specified disorders of pancreatic internal secretion
E169,"Disorder of pancreatic internal secretion, unspecified"
E200,Idiopathic hypoparathyroidism
E201,Pseudohypoparathyroidism
E208,Other hypoparathyroidism
E209,"Hypoparathyroidism, unspecified"
E210,Primary hyperparathyroidism
E211,"Secondary hyperparathyroidism, not elsewhere classified"
E212,Other hyperparathyroidism
E213,"Hyperparathyroidism, unspecified"
E214,Other specified disorders of parathyroid gland
E215,"Disorder of parathyroid gland, unspecified"
E220,Acromegaly and pituitary gigantism
E221,Hyperprolactinemia
E222,Syndrome of inappropriate secretion of antidiuretic hormone
E228,Other hyperfunction of pituitary gland
E229,"Hyperfunction of pituitary gland, unspecified"
E230,Hypopituitarism
E231,Drug-induced hypopituitarism
E232,Diabetes insipidus
E233,"Hypothalamic dysfunction, not elsewhere classified"
E236,Other disorders of pituitary gland
E237,"Disorder of pituitary gland, unspecified"
E240,Pituitary-dependent Cushing's disease
E241,Nelson's syndrome
E242,Drug-induced Cushing's syndrome
E243,Ectopic ACTH syndrome
E244,Alcohol-induced pseudo-Cushing's syndrome
E248,Other Cushing's syndrome
E249,"Cushing's syndrome, unspecified"
E250,Congenital adrenogenital disorders associated with enzyme deficiency
E258,Other adrenogenital disorders
E259,"Adrenogenital disorder, unspecified"
E260,Conn's syndrome
E261,Secondary hyperaldosteronism
E268,Bartter's syndrome
E269,"Hyperaldosteronism, unspecified"
E270,Other adrenocortical overactivity
E271,Primary adrenocortical insufficiency
E272,Addisonian crisis
E273,Drug-induced adrenocortical insufficiency
E274,Unspecified adrenocortical insufficiency
E275,Adrenomedullary hyperfunction
E278,Other specified disorders of adrenal gland
E279,"Disorder of adrenal gland, unspecified"
E280,Estrogen excess
E281,Androgen excess
E282,Polycystic ovarian syndrome
E283,Symptomatic premature menopause
E288,Other ovarian dysfunction
E289,"Ovarian dysfunction, unspecified"
E290,Testicular hyperfunction
E291,Testicular hypofunction
E298,Other testicular dysfunction
E299,"Testicular dysfunction, unspecified"
E300,Delayed puberty
E301,Precocious puberty
E308,Other disorders of puberty
E309,"Disorder of puberty, unspecified"
E310,Autoimmune polyglandular failure
E311,Polyglandular hyperfunction
E312,"Multiple endocrine neoplasia [MEN] syndrome, unspecified"
E318,Other polyglandular dysfunction
E319,"Polyglandular dysfunction, unspecified"
E320,Persistent hyperplasia of thymus
E321,Abscess of thymus
E328,Other diseases of thymus
E329,"Disease of thymus, unspecified"
E340,Carcinoid syndrome
E341,Other hypersecretion of intestinal hormones
E342,"Ectopic hormone secretion, not elsewhere classified"
E343,Short stature due to endocrine disorder
E344,Constitutional tall stature
E345,"Androgen insensitivity syndrome, unspecified"
E348,Other specified endocrine disorders
E349,"Endocrine disorder, unspecified"
E35,Disorders of endocrine glands in diseases classified elsewhere
E360,Intraoperative hemorrhage and hematoma of an endocrine system organ or structure complicating an endocrine system procedure
E361,Accidental puncture and laceration of an endocrine system organ or structure during an endocrine system procedure
E368,Other intraoperative complications of endocrine system
E40,Kwashiorkor
E41,Nutritional marasmus
E42,Marasmic kwashiorkor
E43,Unspecified severe protein-calorie malnutrition
E440,Moderate protein-calorie malnutrition
E441,Mild protein-calorie malnutrition
E45,Retarded development following protein-calorie malnutrition
E46,Unspecified protein-calorie malnutrition
E500,Vitamin A deficiency with conjunctival xerosis
E501,Vitamin A deficiency with Bitot's spot and conjunctival xerosis
E502,Vitamin A deficiency with corneal xerosis
E503,Vitamin A deficiency with corneal ulceration and xerosis
E504,Vitamin A deficiency with keratomalacia
E505,Vitamin A deficiency with night blindness
E506,Vitamin A deficiency with xerophthalmic scars of cornea
E507,Other ocular manifestations of vitamin A deficiency
E508,Other manifestations of vitamin A deficiency
E509,"Vitamin A deficiency, unspecified"
E511,Dry beriberi
E512,Wernicke's encephalopathy
E518,Other manifestations of thiamine deficiency
E519,"Thiamine deficiency, unspecified"
E52,Niacin deficiency [pellagra]
E530,Riboflavin deficiency
E531,Pyridoxine deficiency
E538,Deficiency of other specified B group vitamins
E539,"Vitamin B deficiency, unspecified"
E54,Ascorbic acid deficiency
E550,"Rickets, active"
E559,"Vitamin D deficiency, unspecified"
E560,Deficiency of vitamin E
E561,Deficiency of vitamin K
E568,Deficiency of other vitamins
E569,"Vitamin deficiency, unspecified"
E58,Dietary calcium deficiency
E59,Dietary selenium deficiency
E60,Dietary zinc deficiency
E610,Copper deficiency
E611,Iron deficiency
E612,Magnesium deficiency
E613,Manganese deficiency
E614,Chromium deficiency
E615,Molybdenum deficiency
E616,Vanadium deficiency
E617,Deficiency of multiple nutrient elements
E618,Deficiency of other specified nutrient elements
E619,"Deficiency of nutrient element, unspecified"
E630,Essential fatty acid [EFA] deficiency
E631,Imbalance of constituents of food intake
E638,Other specified nutritional deficiencies
E639,"Nutritional deficiency, unspecified"
E640,Sequelae of protein-calorie malnutrition
E641,Sequelae of vitamin A deficiency
E642,Sequelae of vitamin C deficiency
E643,Sequelae of rickets
E648,Sequelae of other nutritional deficiencies
E649,Sequelae of unspecified nutritional deficiency
E65,Localized adiposity
E660,Morbid (severe) obesity due to excess calories
E661,Drug-induced obesity
E662,Morbid (severe) obesity with alveolar hypoventilation
E663,Overweight
E668,Other obesity
E669,"Obesity, unspecified"
E670,Hypervitaminosis A
E671,Hypercarotenemia
E672,Megavitamin-B6 syndrome
E673,Hypervitaminosis D
E678,Other specified hyperalimentation
E68,Sequelae of hyperalimentation
E700,Classical phenylketonuria
E701,Other hyperphenylalaninemias
E702,"Disorder of tyrosine metabolism, unspecified"
E703,"Albinism, unspecified"
E704,"Disorders of histidine metabolism, unspecified"
E705,Disorders of tryptophan metabolism
E708,Aromatic L-amino acid decarboxylase deficiency
E709,"Disorder of aromatic amino-acid metabolism, unspecified"
E710,Maple-syrup-urine disease
E711,Isovaleric acidemia
E712,"Disorder of branched-chain amino-acid metabolism, unspecified"
E713,"Disorder of fatty-acid metabolism, unspecified"
E714,"Disorder of carnitine metabolism, unspecified"
E715,"Peroxisomal disorder, unspecified"
E720,"Disorders of amino-acid transport, unspecified"
E721,"Disorders of sulfur-bearing amino-acid metabolism, unspecified"
E722,"Disorder of urea cycle metabolism, unspecified"
E723,Disorders of lysine and hydroxylysine metabolism
E724,Disorders of ornithine metabolism
E725,"Disorder of glycine metabolism, unspecified"
E728,Disorders of gamma aminobutyric acid metabolism
E729,"Disorder of amino-acid metabolism, unspecified"
E730,Congenital lactase deficiency
E731,Secondary lactase deficiency
E738,Other lactose intolerance
E739,"Lactose intolerance, unspecified"
E740,"Glycogen storage disease, unspecified"
E741,"Disorder of fructose metabolism, unspecified"
E742,"Disorders of galactose metabolism, unspecified"
E743,Sucrase-isomaltase deficiency
E744,Disorders of pyruvate metabolism and gluconeogenesis
E748,Glucose transporter protein type 1 deficiency
E749,"Disorder of carbohydrate metabolism, unspecified"
E750,"GM2 gangliosidosis, unspecified"
E751,Unspecified gangliosidosis
E752,Fabry (-Anderson) disease
E753,"Sphingolipidosis, unspecified"
E754,Neuronal ceroid lipofuscinosis
E755,Other lipid storage disorders
E756,"Lipid storage disorder, unspecified"
E760,Hurler's syndrome
E761,"Mucopolysaccharidosis, type II"
E762,Morquio A mucopolysaccharidoses
E763,"Mucopolysaccharidosis, unspecified"
E768,Other disorders of glucosaminoglycan metabolism
E769,"Glucosaminoglycan metabolism disorder, unspecified"
E770,Defects in post-translational modification of lysosomal enzymes
E771,Defects in glycoprotein degradation
E778,Other disorders of glycoprotein metabolism
E779,"Disorder of glycoprotein metabolism, unspecified"
E780,"Pure hypercholesterolemia, unspecified"
E781,Pure hyperglyceridemia
E782,Mixed hyperlipidemia
E783,Hyperchylomicronemia
E784,Elevated Lipoprotein(a)
E785,"Hyperlipidemia, unspecified"
E786,Lipoprotein deficiency
E787,"Disorder of bile acid and cholesterol metabolism, unspecified"
E788,Lipoid dermatoarthritis
E789,"Disorder of lipoprotein metabolism, unspecified"
E790,Hyperuricemia without signs of inflammatory arthritis and tophaceous disease
E791,Lesch-Nyhan syndrome
E792,Myoadenylate deaminase deficiency
E798,Other disorders of purine and pyrimidine metabolism
E799,"Disorder of purine and pyrimidine metabolism, unspecified"
E800,Hereditary erythropoietic porphyria
E801,Porphyria cutanea tarda
E802,Unspecified porphyria
E803,Defects of catalase and peroxidase
E804,Gilbert syndrome
E805,Crigler-Najjar syndrome
E806,Other disorders of bilirubin metabolism
E807,"Disorder of bilirubin metabolism, unspecified"
E830,"Disorder of copper metabolism, unspecified"
E831,"Disorder of iron metabolism, unspecified"
E832,Disorders of zinc metabolism
E833,"Disorder of phosphorus metabolism, unspecified"
E834,"Disorders of magnesium metabolism, unspecified"
E835,Unspecified disorder of calcium metabolism
E838,Hungry bone syndrome
E839,"Disorder of mineral metabolism, unspecified"
E840,Cystic fibrosis with pulmonary manifestations
E841,Meconium ileus in cystic fibrosis
E848,Cystic fibrosis with other manifestations
E849,"Cystic fibrosis, unspecified"
E850,Non-neuropathic heredofamilial amyloidosis
E851,Neuropathic heredofamilial amyloidosis
E852,"Heredofamilial amyloidosis, unspecified"
E853,Secondary systemic amyloidosis
E854,Organ-limited amyloidosis
E858,Light chain (AL) amyloidosis
E859,"Amyloidosis, unspecified"
E860,Dehydration
E861,Hypovolemia
E869,"Volume depletion, unspecified"
E870,Hyperosmolality and hypernatremia
E871,Hypo-osmolality and hyponatremia
E872,Acidosis
E873,Alkalosis
E874,Mixed disorder of acid-base balance
E875,Hyperkalemia
E876,Hypokalemia
E877,"Fluid overload, unspecified"
E878,"Other disorders of electrolyte and fluid balance, not elsewhere classified"
E880,Alpha-1-antitrypsin deficiency
E881,"Lipodystrophy, not elsewhere classified"
E882,"Lipomatosis, not elsewhere classified"
E883,Tumor lysis syndrome
E884,"Mitochondrial metabolism disorder, unspecified"
E888,Metabolic syndrome
E889,"Metabolic disorder, unspecified"
E890,Postprocedural hypothyroidism
E891,Postprocedural hypoinsulinemia
E892,Postprocedural hypoparathyroidism
E893,Postprocedural hypopituitarism
E894,Asymptomatic postprocedural ovarian failure
E895,Postprocedural testicular hypofunction
E896,Postprocedural adrenocortical (-medullary) hypofunction
E898,Postprocedural hemorrhage of an endocrine system organ or structure following an endocrine system procedure
F015,Vascular dementia without behavioral disturbance
F028,Dementia in other diseases classified elsewhere without behavioral disturbance
F039,Unspecified dementia without behavioral disturbance
F04,Amnestic disorder due to known physiological condition
F05,Delirium due to known physiological condition
F060,Psychotic disorder with hallucinations due to known physiological condition
F061,Catatonic disorder due to known physiological condition
F062,Psychotic disorder with delusions due to known physiological condition
F063,"Mood disorder due to known physiological condition, unspecified"
F064,Anxiety disorder due to known physiological condition
F068,Other specified mental disorders due to known physiological condition
F070,Personality change due to known physiological condition
F078,Postconcussional syndrome
F079,Unspecified personality and behavioral disorder due to known physiological condition
F09,Unspecified mental disorder due to known physiological condition
F101,"Alcohol abuse, uncomplicated"
F102,"Alcohol dependence, uncomplicated"
F109,"Alcohol use, unspecified with intoxication, uncomplicated"
F111,"Opioid abuse, uncomplicated"
F112,"Opioid dependence, uncomplicated"
F119,"Opioid use, unspecified, uncomplicated"
F121,"Cannabis abuse, uncomplicated"
F122,"Cannabis dependence, uncomplicated"
F129,"Cannabis use, unspecified, uncomplicated"
F131,"Sedative, hypnotic or anxiolytic abuse, uncomplicated"
F132,"Sedative, hypnotic or anxiolytic dependence, uncomplicated"
F139,"Sedative, hypnotic, or anxiolytic use, unspecified, uncomplicated"
F141,"Cocaine abuse, uncomplicated"
F142,"Cocaine dependence, uncomplicated"
F149,"Cocaine use, unspecified, uncomplicated"
F151,"Other stimulant abuse, uncomplicated"
F152,"Other stimulant dependence, uncomplicated"
F159,"Other stimulant use, unspecified, uncomplicated"
F161,"Hallucinogen abuse, uncomplicated"
F162,"Hallucinogen dependence, uncomplicated"
F169,"Hallucinogen use, unspecified, uncomplicated"
F172,"Nicotine dependence, unspecified, uncomplicated"
F181,"Inhalant abuse, uncomplicated"
F182,"Inhalant dependence, uncomplicated"
F189,"Inhalant use, unspecified, uncomplicated"
F191,"Other psychoactive substance abuse, uncomplicated"
F192,"Other psychoactive substance dependence, uncomplicated"
F199,"Other psychoactive substance use, unspecified, uncomplicated"
F200,Paranoid schizophrenia
F201,Disorganized schizophrenia
F202,Catatonic schizophrenia
F203,Undifferentiated schizophrenia
F205,Residual schizophrenia
F208,Schizophreniform disorder
F209,"Schizophrenia, unspecified"
F21,Schizotypal disorder
F22,Delusional disorders
F23,Brief psychotic disorder
F24,Shared psychotic disorder
F250,"Schizoaffective disorder, bipolar type"
F251,"Schizoaffective disorder, depressive type"
F258,Other schizoaffective disorders
F259,"Schizoaffective disorder, unspecified"
F28,Other psychotic disorder not due to a substance or known physiological condition
F29,Unspecified psychosis not due to a substance or known physiological condition
F301,"Manic episode without psychotic symptoms, unspecified"
F302,"Manic episode, severe with psychotic symptoms"
F303,Manic episode in partial remission
F304,Manic episode in full remission
F308,Other manic episodes
F309,"Manic episode, unspecified"
F310,"Bipolar disorder, current episode hypomanic"
F311,"Bipolar disorder, current episode manic without psychotic features, unspecified"
F312,"Bipolar disorder, current episode manic severe with psychotic features"
F313,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified"
F314,"Bipolar disorder, current episode depressed, severe, without psychotic features"
F315,"Bipolar disorder, current episode depressed, severe, with psychotic features"
F316,"Bipolar disorder, current episode mixed, unspecified"
F317,"Bipolar disorder, currently in remission, most recent episode unspecified"
F318,Bipolar II disorder
F319,"Bipolar disorder, unspecified"
F320,"Major depressive disorder, single episode, mild"
F321,"Major depressive disorder, single episode, moderate"
F322,"Major depressive disorder, single episode, severe without psychotic features"
F323,"Major depressive disorder, single episode, severe with psychotic features"
F324,"Major depressive disorder, single episode, in partial remission"
F325,"Major depressive disorder, single episode, in full remission"
F328,Premenstrual dysphoric disorder
F329,"Major depressive disorder, single episode, unspecified"
F32A,"Depression, unspecified"
F330,"Major depressive disorder, recurrent, mild"
F331,"Major depressive disorder, recurrent, moderate"
F332,"Major depressive disorder, recurrent severe without psychotic features"
F333,"Major depressive disorder, recurrent, severe with psychotic symptoms"
F334,"Major depressive disorder, recurrent, in remission, unspecified"
F338,Other recurrent depressive disorders
F339,"Major depressive disorder, recurrent, unspecified"
F340,Cyclothymic disorder
F341,Dysthymic disorder
F348,Disruptive mood dysregulation disorder
F349,"Persistent mood [affective] disorder, unspecified"
F39,Unspecified mood [affective] disorder
F400,"Agoraphobia, unspecified"
F401,"Social phobia, unspecified"
F402,Arachnophobia
F408,Other phobic anxiety disorders
F409,"Phobic anxiety disorder, unspecified"
F410,Panic disorder [episodic paroxysmal anxiety]
F411,Generalized anxiety disorder
F413,Other mixed anxiety disorders
F418,Other specified anxiety disorders
F419,"Anxiety disorder, unspecified"
F422,Mixed obsessional thoughts and acts
F423,Hoarding disorder
F424,Excoriation (skin-picking) disorder
F428,Other obsessive-compulsive disorder
F429,"Obsessive-compulsive disorder, unspecified"
F430,Acute stress reaction
F431,"Post-traumatic stress disorder, unspecified"
F432,"Adjustment disorder, unspecified"
F438,Other reactions to severe stress
F439,"Reaction to severe stress, unspecified"
F440,Dissociative amnesia
F441,Dissociative fugue
F442,Dissociative stupor
F444,Conversion disorder with motor symptom or deficit
F445,Conversion disorder with seizures or convulsions
F446,Conversion disorder with sensory symptom or deficit
F447,Conversion disorder with mixed symptom presentation
F448,Dissociative identity disorder
F449,"Dissociative and conversion disorder, unspecified"
F450,Somatization disorder
F451,Undifferentiated somatoform disorder
F452,"Hypochondriacal disorder, unspecified"
F454,Pain disorder exclusively related to psychological factors
F458,Other somatoform disorders
F459,"Somatoform disorder, unspecified"
F481,Depersonalization-derealization syndrome
F482,Pseudobulbar affect
F488,Other specified nonpsychotic mental disorders
F489,"Nonpsychotic mental disorder, unspecified"
F500,"Anorexia nervosa, unspecified"
F502,Bulimia nervosa
F508,Binge eating disorder
F509,"Eating disorder, unspecified"
F510,Primary insomnia
F511,Primary hypersomnia
F513,Sleepwalking [somnambulism]
F514,Sleep terrors [night terrors]
F515,Nightmare disorder
F518,Other sleep disorders not due to a substance or known physiological condition
F519,"Sleep disorder not due to a substance or known physiological condition, unspecified"
F520,Hypoactive sexual desire disorder
F521,Sexual aversion disorder
F522,Male erectile disorder
F523,Female orgasmic disorder
F524,Premature ejaculation
F525,Vaginismus not due to a substance or known physiological condition
F526,Dyspareunia not due to a substance or known physiological condition
F528,Other sexual dysfunction not due to a substance or known physiological condition
F529,Unspecified sexual dysfunction not due to a substance or known physiological condition
F530,Postpartum depression
F531,Puerperal psychosis
F54,Psychological and behavioral factors associated with disorders or diseases classified elsewhere
F550,Abuse of antacids
F551,Abuse of herbal or folk remedies
F552,Abuse of laxatives
F553,Abuse of steroids or hormones
F554,Abuse of vitamins
F558,Abuse of other non-psychoactive substances
F59,Unspecified behavioral syndromes associated with physiological disturbances and physical factors
F600,Paranoid personality disorder
F601,Schizoid personality disorder
F602,Antisocial personality disorder
F603,Borderline personality disorder
F604,Histrionic personality disorder
F605,Obsessive-compulsive personality disorder
F606,Avoidant personality disorder
F607,Dependent personality disorder
F608,Narcissistic personality disorder
F609,"Personality disorder, unspecified"
F630,Pathological gambling
F631,Pyromania
F632,Kleptomania
F633,Trichotillomania
F638,Intermittent explosive disorder
F639,"Impulse disorder, unspecified"
F640,Transsexualism
F641,Dual role transvestism
F642,Gender identity disorder of childhood
F648,Other gender identity disorders
F649,"Gender identity disorder, unspecified"
F650,Fetishism
F651,Transvestic fetishism
F652,Exhibitionism
F653,Voyeurism
F654,Pedophilia
F655,"Sadomasochism, unspecified"
F658,Frotteurism
F659,"Paraphilia, unspecified"
F66,Other sexual disorders
F681,"Factitious disorder imposed on self, unspecified"
F68A,Factitious disorder imposed on another
F688,Other specified disorders of adult personality and behavior
F69,Unspecified disorder of adult personality and behavior
F70,Mild intellectual disabilities
F71,Moderate intellectual disabilities
F72,Severe intellectual disabilities
F73,Profound intellectual disabilities
F78A,SYNGAP1-related intellectual disability
F79,Unspecified intellectual disabilities
F800,Phonological disorder
F801,Expressive language disorder
F802,Mixed receptive-expressive language disorder
F804,Speech and language development delay due to hearing loss
F808,Childhood onset fluency disorder
F809,"Developmental disorder of speech and language, unspecified"
F810,Specific reading disorder
F812,Mathematics disorder
F818,Disorder of written expression
F819,"Developmental disorder of scholastic skills, unspecified"
F82,Specific developmental disorder of motor function
F840,Autistic disorder
F842,Rett's syndrome
F843,Other childhood disintegrative disorder
F845,Asperger's syndrome
F848,Other pervasive developmental disorders
F849,"Pervasive developmental disorder, unspecified"
F88,Other disorders of psychological development
F89,Unspecified disorder of psychological development
F900,"Attention-deficit hyperactivity disorder, predominantly inattentive type"
F901,"Attention-deficit hyperactivity disorder, predominantly hyperactive type"
F902,"Attention-deficit hyperactivity disorder, combined type"
F908,"Attention-deficit hyperactivity disorder, other type"
F909,"Attention-deficit hyperactivity disorder, unspecified type"
F910,Conduct disorder confined to family context
F911,"Conduct disorder, childhood-onset type"
F912,"Conduct disorder, adolescent-onset type"
F913,Oppositional defiant disorder
F918,Other conduct disorders
F919,"Conduct disorder, unspecified"
F930,Separation anxiety disorder of childhood
F938,Other childhood emotional disorders
F939,"Childhood emotional disorder, unspecified"
F940,Selective mutism
F941,Reactive attachment disorder of childhood
F942,Disinhibited attachment disorder of childhood
F948,Other childhood disorders of social functioning
F949,"Childhood disorder of social functioning, unspecified"
F950,Transient tic disorder
F951,Chronic motor or vocal tic disorder
F952,Tourette's disorder
F958,Other tic disorders
F959,"Tic disorder, unspecified"
F980,Enuresis not due to a substance or known physiological condition
F981,Encopresis not due to a substance or known physiological condition
F982,Rumination disorder of infancy
F983,Pica of infancy and childhood
F984,Stereotyped movement disorders
F985,Adult onset fluency disorder
F988,Other specified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F989,Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F99,"Mental disorder, not otherwise specified"
G000,Hemophilus meningitis
G001,Pneumococcal meningitis
G002,Streptococcal meningitis
G003,Staphylococcal meningitis
G008,Other bacterial meningitis
G009,"Bacterial meningitis, unspecified"
G01,Meningitis in bacterial diseases classified elsewhere
G02,Meningitis in other infectious and parasitic diseases classified elsewhere
G030,Nonpyogenic meningitis
G031,Chronic meningitis
G032,Benign recurrent meningitis [Mollaret]
G038,Meningitis due to other specified causes
G039,"Meningitis, unspecified"
G040,"Acute disseminated encephalitis and encephalomyelitis, unspecified"
G041,Tropical spastic paraplegia
G042,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified"
G043,"Acute necrotizing hemorrhagic encephalopathy, unspecified"
G048,Other encephalitis and encephalomyelitis
G049,"Encephalitis and encephalomyelitis, unspecified"
G053,Encephalitis and encephalomyelitis in diseases classified elsewhere
G054,Myelitis in diseases classified elsewhere
G060,Intracranial abscess and granuloma
G061,Intraspinal abscess and granuloma
G062,"Extradural and subdural abscess, unspecified"
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
G08,Intracranial and intraspinal phlebitis and thrombophlebitis
G09,Sequelae of inflammatory diseases of central nervous system
G10,Huntington's disease
G110,Congenital nonprogressive ataxia
G111,"Early-onset cerebellar ataxia, unspecified"
G112,Late-onset cerebellar ataxia
G113,Cerebellar ataxia with defective DNA repair
G114,Hereditary spastic paraplegia
G118,Other hereditary ataxias
G119,"Hereditary ataxia, unspecified"
G120,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]"
G121,Other inherited spinal muscular atrophy
G122,"Motor neuron disease, unspecified"
G128,Other spinal muscular atrophies and related syndromes
G129,"Spinal muscular atrophy, unspecified"
G130,Paraneoplastic neuromyopathy and neuropathy
